seed,alpha,method,VaR,lb_bound,ub_bound,CVaR_beta,CVaR_lb_bound,CVaR_ub_bound,a,b,pi,rho,mom1_pi,mom2_rho
0,0.99,AB,4616.0,1273.0,6000,4972.0,1321.0,6000,0.8290526760461221,2.936701654094709,0.22015580501639292,0.2098303711703178,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.9,KNN,3420.0,784.0,6000,4286.0,1307.0,6000,0.5138785841921143,1.8467756965843678,0.21768481237459553,0.2975611046099479,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.95,KNN,4173.0,1059.0,6000,4798.0,1307.0,6000,0.5138785841921143,1.8467756965843678,0.21768481237459553,0.2975611046099479,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
0,0.99,KNN,5208.0,1258.0,6000,5495.0,1307.0,6000,0.5138785841921143,1.8467756965843678,0.21768481237459553,0.2975611046099479,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.9,LR,2746.0,1117.0,6000,3224.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.2676317917344967,0.09558244977544281,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.95,LR,3118.0,1374.0,6000,3534.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.2676317917344967,0.09558244977544281,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.99,LR,3793.0,1561.0,6000,4105.0,1606.0,6000,2.5323779628099725,6.929793726128278,0.2676317917344967,0.09558244977544281,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.9,MLP,3438.0,827.0,6000,4281.0,1344.0,6000,0.5526352745756331,1.9127759475361261,0.2241554145690433,0.28856604192290286,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.95,MLP,4169.0,1099.0,6000,4782.0,1345.0,6000,0.5526352745756331,1.9127759475361261,0.2241554145690433,0.28856604192290286,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.99,MLP,5186.0,1297.0,6000,5466.0,1345.0,6000,0.5526352745756331,1.9127759475361261,0.2241554145690433,0.28856604192290286,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.9,RF,2959.0,818.0,6000,3676.0,1337.0,6000,0.9259533075790785,3.2307301945925,0.22276252379940215,0.19392309021464685,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.95,RF,3540.0,1091.0,6000,4122.0,1337.0,6000,0.9259533075790785,3.2307301945925,0.22276252379940215,0.19392309021464685,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.99,RF,4500.0,1289.0,6000,4860.0,1337.0,6000,0.9259533075790785,3.2307301945925,0.22276252379940215,0.19392309021464685,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.9,AB,3036.0,815.0,6000,3780.0,1335.0,6000,0.8370605844195895,2.9276242362152805,0.2223454616523327,0.20987747094397632,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.95,AB,3646.0,1088.0,6000,4239.0,1335.0,6000,0.8370605844195895,2.9276242362152805,0.2223454616523327,0.20987747094397632,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.99,AB,4629.0,1286.0,6000,4987.0,1335.0,6000,0.8370605844195895,2.9276242362152805,0.2223454616523327,0.20987747094397632,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.9,KNN,3474.0,814.0,6000,4331.0,1334.0,6000,0.5193266721735164,1.8173754947871688,0.22224769571254221,0.2996971110882437,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
1,0.95,KNN,4223.0,1087.0,6000,4836.0,1334.0,6000,0.5193266721735164,1.8173754947871688,0.22224769571254221,0.2996971110882437,<function <lambda> at 0x7f5051fa9d80>,<function <lambda> at 0x7f50349141f0>
