n_data,setting,ml,is_calibrated,gap_auc,gap_brier,gap_precision,gap_recall,prec,recall
1000,normal_copula,KNN_iso,1,15.491984521835267,7.833609947714589,52.903225806451616,90.3225806451613,0.6,0.061224489795918366
1000,normal_copula,ADA,0,8.982863460475409,40.43351222753364,27.419354838709683,87.09677419354838,0.5,0.08163265306122448
1000,normal_copula,ADA_iso,1,7.2484798231066945,3.4856696076038465,52.903225806451616,90.3225806451613,0.6,0.061224489795918366
5000,normal_copula,RF,0,9.19820585734807,13.064000314154043,12.393724696356271,82.63157894736842,0.3173076923076923,0.12890625
5000,normal_copula,RF_iso,1,8.110580164756255,3.7839254854673916,11.44736842105263,99.47368421052632,0.25,0.00390625
5000,normal_copula,KNN,0,12.333851250329817,16.13962153359401,4.723112128146459,82.10526315789474,0.2956521739130435,0.1328125
5000,normal_copula,KNN_iso,1,10.631467854944146,4.178688305045884,100.0,100.0,0.0,0.0
5000,normal_copula,ADA,0,1.3983758904752277,37.063565734931466,57.42690058479532,93.6842105263158,0.4444444444444444,0.046875
5000,normal_copula,ADA_iso,1,1.7375626630705716,1.31842136824845,32.828947368421055,92.10526315789474,0.375,0.05859375
10000,normal_copula,RF,0,7.02877807279566,11.278088976573585,9.79928554907354,73.65269461077844,0.3776824034334764,0.17564870259481039
10000,normal_copula,RF_iso,1,6.665906073680725,5.204588667429255,56.54076462459696,97.90419161676645,0.5384615384615384,0.013972055888223553
10000,normal_copula,KNN,0,14.210711915034853,17.38360916342668,17.026540140058867,71.55688622754491,0.4025423728813559,0.18962075848303392
10000,normal_copula,KNN_iso,1,11.126230777740906,6.9739376184003,93.812375249501,97.60479041916167,0.6666666666666666,0.015968063872255488
10000,normal_copula,ADA,0,0.3783604381015719,41.29872754191636,85.00272182906913,87.4251497005988,0.6363636363636364,0.08383233532934131
10000,normal_copula,ADA_iso,1,0.40055592432790754,0.6453973113379926,86.05988023952096,85.62874251497007,0.64,0.09580838323353294
500,t_copula,RF,0,5.289213131839471,9.716028625392743,32.93650793650794,76.19047619047619,0.4166666666666667,0.21739130434782608
500,t_copula,RF_iso,1,6.644085461177687,10.609492283005071,100.0,100.0,0.0,0.0
500,t_copula,KNN,0,12.42834809796768,15.879952520951633,8.843537414965997,90.47619047619048,0.2857142857142857,0.08695652173913043
500,t_copula,KNN_iso,1,10.86503387180822,14.37790434016205,100.0,100.0,0.0,0.0
500,t_copula,ADA,0,26.706618030224067,47.862514715123744,20.23809523809524,90.47619047619048,0.25,0.08695652173913043
500,t_copula,ADA_iso,1,24.856696195935374,19.53968580472106,100.0,100.0,0.0,0.0
