id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
2S,500,0.9,2,AdaBoostClassifier,98,140.0,298,0.2780775580567497,0.12235300650992756,0.2242878297621409,0.9617469939559764,2.4968096787823897,144
2S,500,0.9,2,RandomForest,102,143.0,293,0.2849369550036496,0.12261502131966374,0.20331966956072978,1.1164865059841365,2.801876789414142,149
2S,500,0.9,2,LogisticRegression,89,131.0,252,0.2602471328543156,0.09656875749802082,0.1498047094024233,1.476995533899934,4.19836202988453,142
2S,500,0.9,3,real,71,115.0,236,0.2280389041592361,0.07997804053415916,0.15892268627061645,1.2068657624571342,4.085502076689391,129
2S,500,0.9,3,KNN,78,120.0,176,0.24184729231347454,0.06488988991557532,0.034903335299884174,6.687212358736357,20.963344712905975,136
2S,500,0.9,3,MLP,75,118.0,221,0.2354749239671367,0.07644893352540737,0.11665224600138313,1.7831310790594797,5.789357100792139,130
2S,500,0.9,3,AdaBoostClassifier,79,122.0,228,0.24270304169142767,0.08132806217276153,0.1219994893672914,1.7466744790681912,5.450081140042659,132
2S,500,0.9,3,RandomForest,82,125.0,199,0.24922263796473743,0.07356463736580776,0.06120822161700931,3.8224956930163163,11.515178782435319,141
2S,500,0.9,3,LogisticRegression,76,119.0,220,0.23768712849457171,0.07697651817160818,0.11303673412643833,1.8650552262666016,5.981626409823843,130
2S,500,0.9,4,real,74,118.0,231,0.23480374389999184,0.08010619713632483,0.13899519970732452,1.4544901625969981,4.7400028997940185,127
2S,500,0.9,4,KNN,52,97.0,169,0.19379929522379963,0.04815234109049636,0.06780656521182352,2.664320631930371,11.083513842151332,104
2S,500,0.9,4,MLP,49,95.0,158,0.1886936228878707,0.04387907345446027,0.0540458545647174,3.302668007115426,14.200138693860065,108
2S,500,0.9,4,AdaBoostClassifier,58,102.0,199,0.20599185640893528,0.06078559589141797,0.11220982795876244,1.6297818910090132,6.282093460653623,109
2S,500,0.9,4,RandomForest,57,102.0,203,0.20330587631589073,0.0613651105433303,0.12367419906306525,1.4405768246210588,5.645184050127518,109
2S,500,0.9,4,LogisticRegression,52,97.0,166,0.19371240878580592,0.04742512198004014,0.0633891865854016,2.862209574450907,11.91335174550296,111
2S,1000,0.9,1,real,154,240.0,485,0.23943778871076343,0.08611413578469097,0.1580588792452918,1.2754267342696954,4.051329502234415,252
2S,1000,0.9,1,KNN,130,218.0,394,0.21765207131880338,0.06322255657190662,0.0930829531656654,2.120607125631366,7.622498523587125,228
2S,1000,0.9,1,MLP,140,227.0,482,0.2263670247028631,0.0817706671530144,0.17432484329152784,1.0721686310831076,3.664248400009097,236
2S,1000,0.9,1,AdaBoostClassifier,130,218.0,431,0.21706083129950446,0.0695352426094435,0.1319237507354302,1.428289836266742,5.151846374425714,233
2S,1000,0.9,1,RandomForest,131,217.0,434,0.21793427039587784,0.07034165219492558,0.13404394619219784,1.4079076762555847,5.052332255551242,238
2S,1000,0.9,1,LogisticRegression,139,226.0,469,0.22589318494611085,0.07897736769024707,0.15983509638517582,1.1873958238968583,4.069052369372081,234
2S,1000,0.9,2,real,163,246.0,479,0.24698531350447744,0.08715037967815013,0.14059647749397775,1.5097109985730237,4.602842728406613,252
2S,1000,0.9,2,KNN,164,249.0,417,0.2483971553292641,0.07658365253858203,0.0797151791203914,2.867661267547995,8.67700100423503,264
2S,1000,0.9,2,MLP,170,254.0,477,0.253742022826899,0.08894342904873563,0.12969372019459693,1.7027291343438724,5.007744422121046,258
